task,method,points,memory,params
task001,unsolved,0.0,0,0
task002,unsolved,0.0,0,0
task003,unsolved,0.0,0,0
task004,unsolved,0.0,0,0
task005,unsolved,0.0,0,0
task006,unsolved,0.0,0,0
task007,unsolved,0.0,0,0
task008,unsolved,0.0,0,0
task009,unsolved,0.0,0,0
task010,unsolved,0.0,0,0
task011,unsolved,0.0,0,0
task012,unsolved,0.0,0,0
task013,unsolved,0.0,0,0
task014,unsolved,0.0,0,0
task015,unsolved,0.0,0,0
task016,color_permute,22.697,0,10
task017,unsolved,0.0,0,0
task018,unsolved,0.0,0,0
task019,unsolved,0.0,0,0
task020,unsolved,0.0,0,0
task021,unsolved,0.0,0,0
task022,unsolved,0.0,0,0
task023,unsolved,0.0,0,0
task024,unsolved,0.0,0,0
task025,unsolved,0.0,0,0
task026,unsolved,0.0,0,0
task027,unsolved,0.0,0,0
task028,unsolved,0.0,0,0
task029,unsolved,0.0,0,0
task030,unsolved,0.0,0,0
task031,unsolved,0.0,0,0
task032,unsolved,0.0,0,0
task033,unsolved,0.0,0,0
task034,unsolved,0.0,0,0
task035,unsolved,0.0,0,0
task036,unsolved,0.0,0,0
task037,unsolved,0.0,0,0
task038,unsolved,0.0,0,0
task039,unsolved,0.0,0,0
task040,unsolved,0.0,0,0
task041,unsolved,0.0,0,0
task042,unsolved,0.0,0,0
task043,unsolved,0.0,0,0
task044,unsolved,0.0,0,0
task045,unsolved,0.0,0,0
task046,unsolved,0.0,0,0
task047,unsolved,0.0,0,0
task048,unsolved,0.0,0,0
task049,unsolved,0.0,0,0
task050,unsolved,0.0,0,0
task051,unsolved,0.0,0,0
task052,unsolved,0.0,0,0
task053,unsolved,0.0,0,0
task054,unsolved,0.0,0,0
task055,unsolved,0.0,0,0
task056,unsolved,0.0,0,0
task057,unsolved,0.0,0,0
task058,unsolved,0.0,0,0
task059,unsolved,0.0,0,0
task060,unsolved,0.0,0,0
task061,unsolved,0.0,0,0
task062,unsolved,0.0,0,0
task063,unsolved,0.0,0,0
task064,unsolved,0.0,0,0
task065,unsolved,0.0,0,0
task066,unsolved,0.0,0,0
task067,unsolved,0.0,0,0
task068,unsolved,0.0,0,0
task069,unsolved,0.0,0,0
task070,unsolved,0.0,0,0
task071,unsolved,0.0,0,0
task072,unsolved,0.0,0,0
task073,unsolved,0.0,0,0
task074,unsolved,0.0,0,0
task075,unsolved,0.0,0,0
task076,unsolved,0.0,0,0
task077,unsolved,0.0,0,0
task078,unsolved,0.0,0,0
task079,unsolved,0.0,0,0
task080,unsolved,0.0,0,0
task081,unsolved,0.0,0,0
task082,unsolved,0.0,0,0
task083,unsolved,0.0,0,0
task084,unsolved,0.0,0,0
task085,unsolved,0.0,0,0
task086,unsolved,0.0,0,0
task087,unsolved,0.0,0,0
task088,unsolved,0.0,0,0
task089,unsolved,0.0,0,0
task090,unsolved,0.0,0,0
task091,unsolved,0.0,0,0
task092,unsolved,0.0,0,0
task093,unsolved,0.0,0,0
task094,unsolved,0.0,0,0
task095,unsolved,0.0,0,0
task096,unsolved,0.0,0,0
task097,unsolved,0.0,0,0
task098,unsolved,0.0,0,0
task099,unsolved,0.0,0,0
task100,unsolved,0.0,0,0
task101,unsolved,0.0,0,0
task102,unsolved,0.0,0,0
task103,unsolved,0.0,0,0
task104,unsolved,0.0,0,0
task105,unsolved,0.0,0,0
task106,unsolved,0.0,0,0
task107,unsolved,0.0,0,0
task108,unsolved,0.0,0,0
task109,unsolved,0.0,0,0
task110,unsolved,0.0,0,0
task111,unsolved,0.0,0,0
task112,unsolved,0.0,0,0
task113,unsolved,0.0,0,0
task114,unsolved,0.0,0,0
task115,unsolved,0.0,0,0
task116,unsolved,0.0,0,0
task117,unsolved,0.0,0,0
task118,unsolved,0.0,0,0
task119,unsolved,0.0,0,0
task120,unsolved,0.0,0,0
task121,unsolved,0.0,0,0
task122,unsolved,0.0,0,0
task123,unsolved,0.0,0,0
task124,unsolved,0.0,0,0
task125,unsolved,0.0,0,0
task126,unsolved,0.0,0,0
task127,unsolved,0.0,0,0
task128,unsolved,0.0,0,0
task129,unsolved,0.0,0,0
task130,unsolved,0.0,0,0
task131,unsolved,0.0,0,0
task132,unsolved,0.0,0,0
task133,unsolved,0.0,0,0
task134,unsolved,0.0,0,0
task135,unsolved,0.0,0,0
task136,unsolved,0.0,0,0
task137,unsolved,0.0,0,0
task138,unsolved,0.0,0,0
task139,unsolved,0.0,0,0
task140,unsolved,0.0,0,0
task141,unsolved,0.0,0,0
task142,unsolved,0.0,0,0
task143,unsolved,0.0,0,0
task144,unsolved,0.0,0,0
task145,unsolved,0.0,0,0
task146,unsolved,0.0,0,0
task147,unsolved,0.0,0,0
task148,unsolved,0.0,0,0
task149,unsolved,0.0,0,0
task150,unsolved,0.0,0,0
task151,unsolved,0.0,0,0
task152,unsolved,0.0,0,0
task153,unsolved,0.0,0,0
task154,unsolved,0.0,0,0
task155,unsolved,0.0,0,0
task156,unsolved,0.0,0,0
task157,unsolved,0.0,0,0
task158,unsolved,0.0,0,0
task159,unsolved,0.0,0,0
task160,unsolved,0.0,0,0
task161,unsolved,0.0,0,0
task162,unsolved,0.0,0,0
task163,unsolved,0.0,0,0
task164,unsolved,0.0,0,0
task165,unsolved,0.0,0,0
task166,unsolved,0.0,0,0
task167,unsolved,0.0,0,0
task168,unsolved,0.0,0,0
task169,unsolved,0.0,0,0
task170,unsolved,0.0,0,0
